cityid,cityname,regionname
872,Umeå,Vasterbottens lan
707,Skellefteå,Vasterbottens lan
871,Teg,Vasterbottens lan
535,Lycksele,Vasterbottens lan
933,Vännäs,Vasterbottens lan
786,Säter,Kopparbergs lan
578,Mora,Kopparbergs lan
164,Borlänge,Kopparbergs lan
129,Avesta,Kopparbergs lan
324,Hedemora,Kopparbergs lan
230,Falun,Kopparbergs lan
435,Krylbo,Kopparbergs lan
730,Smedjebacken,Kopparbergs lan
530,Ludvika,Kopparbergs lan
804,Sölvesborg,Blekinge lan
639,Olofström,Blekinge lan
672,Ronneby,Blekinge lan
401,Karlshamn,Blekinge lan
403,Karlskrona,Blekinge lan
343,Hudiksvall,Gavleborgs lan
299,Gävle,Gavleborgs lan
794,Söderhamn,Gavleborgs lan
761,Storvik,Gavleborgs lan
524,Ljusdal,Gavleborgs lan
694,Sandviken,Gavleborgs lan
373,Hörby,Malmohus lan
378,Höör,Malmohus lan
532,Lund,Malmohus lan
367,Höganäs,Malmohus lan
776,Svedala,Malmohus lan
555,Malmö,Malmohus lan
953,Ystad,Malmohus lan
845,Trelleborg,Malmohus lan
718,Skurup,Malmohus lan
360,Helsingborg,Malmohus lan
224,Eslöv,Malmohus lan
750,Stockholm,Stockholms lan
797,Södertälje,Stockholms lan
632,Nynäshamn,Stockholms lan
1000,Östhammar,Stockholms lan
620,Norrtälje,Stockholms lan
176,Bromölla,Kristianstads lan
432,Kristianstad,Kristianstads lan
956,Åhus,Kristianstads lan
363,Hässleholm,Kristianstads lan
645,Osby,Kristianstads lan
911,Vinslöv,Kristianstads lan
418,Klippan,Kristianstads lan
697,Simrishamn,Kristianstads lan
981,Ängelholm,Kristianstads lan
832,Tomelilla,Kristianstads lan
125,Arvika,Varmlands lan
783,Säffle,Varmlands lan
404,Karlstad,Varmlands lan
251,Forshaga,Varmlands lan
769,Sunne,Varmlands lan
433,Kristinehamn,Varmlands lan
235,Filipstad,Varmlands lan
118,Arboga,Vastmanlands lan
691,Sala,Vastmanlands lan
312,Hallstahammar,Vastmanlands lan
443,Kungsör,Vastmanlands lan
944,Västerås,Vastmanlands lan
227,Fagersta,Vastmanlands lan
461,Koping,Vastmanlands lan
610,Nora,Orebro lan
988,Örebro,Orebro lan
310,Hallsberg,Orebro lan
128,Askersund,Orebro lan
437,Kumla,Orebro lan
202,Degerfors,Orebro lan
516,Lindesberg,Orebro lan
402,Karlskoga,Orebro lan
479,Essunga,Skaraborgs lan
510,Lidköping,Skaraborgs lan
862,Töreboda,Skaraborgs lan
815,Tidaholm,Skaraborgs lan
724,Skövde,Skaraborgs lan
229,Falköping,Skaraborgs lan
330,Hjo,Skaraborgs lan
705,Skara,Skaraborgs lan
887,Vara,Skaraborgs lan
565,Mariestad,Skaraborgs lan
538,Lysekil,Goteborgs och Bohus lan
445,Kungälv,Goteborgs och Bohus lan
303,Gothenburg,Goteborgs och Bohus lan
764,Strömstad,Goteborgs och Bohus lan
568,Marstrand,Goteborgs och Bohus lan
865,Uddevalla,Goteborgs och Bohus lan
553,Malmköping,Sodermanlands lan
561,Mariefred,Sodermanlands lan
405,Katrineholm,Sodermanlands lan
223,Eskilstuna,Sodermanlands lan
836,Torshälla,Sodermanlands lan
763,Strängnäs,Sodermanlands lan
629,Nyköping,Sodermanlands lan
818,Tierp,Uppsala lan
220,Enköping,Uppsala lan
874,Uppsala,Uppsala lan
134,Bengtsfors,Alvsborgs lan
964,Åmål,Alvsborgs lan
846,Trollhättan,Alvsborgs lan
167,Borås,Alvsborgs lan
103,Alingsås,Alvsborgs lan
870,Ulricehamn,Alvsborgs lan
932,Vänersborg,Alvsborgs lan
634,Nässjö,Jonkopings lan
394,Jönköping,Jonkopings lan
842,Tranås,Jonkopings lan
616,Norrahammar,Jonkopings lan
559,Mariannelund,Jonkopings lan
155,Bodafors,Jonkopings lan
900,Vetlanda,Jonkopings lan
215,Eksjö,Jonkopings lan
351,Huskvarna,Jonkopings lan
939,Värnamo,Jonkopings lan
476,Berga,Kronobergs lan
108,Alvesta,Kronobergs lan
521,Ljungby,Kronobergs lan
566,Markaryd,Kronobergs lan
506,Lessebo,Kronobergs lan
950,Växjö,Kronobergs lan
824,Tingsryd,Kronobergs lan
967,Åseda,Kronobergs lan
975,Älmhult,Kronobergs lan
163,Borgholm,Kalmar lan
647,Oskarshamn,Kalmar lan
399,Kalmar,Kalmar lan
626,Nybro,Kalmar lan
907,Vimmerby,Kalmar lan
218,Emmaboda,Kalmar lan
943,Västervik,Kalmar lan
344,Hultsfred,Kalmar lan
361,Härnösand,Vasternorrlands lan
767,Sundsvall,Vasternorrlands lan
994,Örnsköldsvik,Vasternorrlands lan
734,Sollefteå,Vasternorrlands lan
659,Piteå,Norrbottens lan
320,Haparanda,Norrbottens lan
157,Boden,Norrbottens lan
531,Luleå,Norrbottens lan
915,Visby,Gotlands lan
728,Slite,Gotlands lan
889,Varberg,Hallands lan
440,Kungsbacka,Hallands lan
462,Laholm,Hallands lan
228,Falkenberg,Hallands lan
314,Halmstad,Hallands lan
619,Norrköping,Ostergotlands lan
518,Linköping,Ostergotlands lan
236,Finspång,Ostergotlands lan
881,Valdemarsvik,Ostergotlands lan
575,Mjölby,Ostergotlands lan
795,Söderköping,Ostergotlands lan
585,Motala,Ostergotlands lan
876,Vadstena,Ostergotlands lan
997,Östersund,Jamtlands lan
